年份,隊伍,球員,打擊率,出賽數,打席,打數,得分,打點,安打,一安,二安,三安,全壘打,壘打數,長打數,四壞,（故四）,死球,被三振,雙殺打,犧短,犧飛,盜壘,盜壘刺,上壘率,長打率,整體攻擊指數,滾飛出局比,保送三振比
2025,樂天桃猿,林立,0.404,12,53,52,10,15,21,15,2,0,4,35,6,1,（1）,0,4,1,0,0,3,3,0.415,0.673,1.088,1.25,0.25
2025,味全龍,郭天信,0.4,12,48,45,10,11,18,16,0,1,1,23,2,2,（0）,0,4,0,0,1,2,0,0.417,0.511,0.928,0.6,0.5
2025,富邦悍將,戴培峰,0.372,12,49,43,5,6,16,11,3,1,1,24,5,5,（0）,0,4,0,0,1,1,0,0.429,0.558,0.987,0.333,1.25
2025,中信兄弟,許基宏,0.357,12,48,42,8,6,15,9,6,0,0,21,6,3,（1）,3,10,0,0,0,0,0,0.438,0.5,0.938,1.125,0.6
2025,統一7-ELEVEn獅,林安可,0.341,11,44,41,10,7,14,7,3,0,4,29,7,2,（0）,1,10,0,0,0,0,0,0.386,0.707,1.093,0.889,0.3
2025,樂天桃猿,林泓育,0.341,11,43,41,4,2,14,12,2,0,0,16,2,1,（0）,1,5,0,0,0,0,0,0.372,0.39,0.762,1.75,0.4
2025,樂天桃猿,林子偉,0.333,11,47,42,4,2,14,9,4,1,0,20,5,4,（0）,0,9,0,0,1,1,0,0.383,0.476,0.859,0.333,0.44
2025,統一7-ELEVEn獅,陳傑憲,0.32,13,57,50,9,6,16,12,2,1,1,23,4,7,（0）,0,3,0,0,0,1,1,0.404,0.46,0.864,1.067,2.33
2025,樂天桃猿,陳晨威,0.304,12,53,46,10,0,14,13,1,0,0,15,1,7,（0）,0,7,0,0,0,2,0,0.396,0.326,0.722,0.563,1.0
2025,台鋼雄鷹,曾子祐,0.296,13,56,54,3,2,16,14,1,1,0,19,2,1,（0）,0,4,0,1,0,0,2,0.309,0.352,0.661,0.944,0.25
2025,味全龍,李凱威,0.295,12,56,44,8,6,13,12,1,0,0,14,1,10,（0）,1,5,1,0,1,3,0,0.429,0.318,0.747,2.857,2.2
2025,統一7-ELEVEn獅,潘傑楷,0.295,12,50,44,6,5,13,12,1,0,0,14,1,6,（1）,0,4,0,0,0,2,0,0.38,0.318,0.698,0.929,1.5
2025,中信兄弟,詹子賢,0.289,14,53,45,3,10,13,11,2,0,0,15,2,6,（0）,0,4,1,0,2,0,0,0.358,0.333,0.691,0.579,1.5
2025,富邦悍將,董子恩,0.286,12,46,42,3,8,12,8,3,1,0,17,4,2,（0）,1,5,2,0,1,0,0,0.326,0.405,0.731,1.364,0.6
2025,中信兄弟,高宇杰,0.279,13,47,43,4,5,12,9,2,1,0,16,3,2,（0）,0,10,1,2,0,0,0,0.311,0.372,0.683,1.556,0.2
2025,富邦悍將,申皓瑋,0.275,12,46,40,3,3,11,8,3,0,0,14,3,4,（0）,2,10,1,0,0,1,0,0.37,0.35,0.72,0.727,0.6
2025,中信兄弟,宋晟睿,0.269,14,59,52,3,6,14,10,3,1,0,19,4,5,（0）,1,16,2,1,0,1,1,0.345,0.365,0.71,2.286,0.38
2025,中信兄弟,江坤宇,0.261,14,57,46,7,11,12,7,5,0,0,17,5,5,（1）,3,1,1,1,2,0,1,0.357,0.37,0.727,0.8,8.0
2025,中信兄弟,王威晨,0.25,11,46,44,5,3,11,10,1,0,0,12,1,2,（0）,0,11,2,0,0,1,2,0.283,0.273,0.556,2.143,0.18
2025,台鋼雄鷹,王柏融,0.238,13,52,42,3,3,10,7,3,0,0,13,3,8,（0）,1,12,0,0,1,0,1,0.365,0.31,0.675,1.333,0.75
2025,台鋼雄鷹,張肇元,0.234,13,49,47,6,7,11,6,4,0,1,18,5,1,（0）,0,6,1,1,0,0,0,0.25,0.383,0.633,1.385,0.17
2025,統一7-ELEVEn獅,邱智呈,0.234,13,53,47,4,2,11,9,1,1,0,14,2,5,（0）,0,15,1,1,0,2,1,0.308,0.298,0.606,0.833,0.33
2025,味全龍,吉力吉撈．鞏冠,0.225,12,46,40,4,4,9,5,3,0,1,15,4,6,（0）,0,9,2,0,0,0,0,0.326,0.375,0.701,0.833,0.67
2025,味全龍,劉基鴻,0.225,12,42,40,0,1,9,7,2,0,0,11,2,2,（0）,0,3,1,0,0,1,0,0.262,0.275,0.537,1.545,0.67
2025,味全龍,曾聖安,0.211,11,42,38,6,3,8,6,1,1,0,11,2,2,（0）,0,12,0,1,1,2,0,0.244,0.289,0.533,0.538,0.17
2025,富邦悍將,張育成,0.206,9,37,34,6,5,7,5,0,0,2,13,2,2,（1）,1,7,0,0,0,1,0,0.27,0.382,0.652,0.667,0.43
2025,台鋼雄鷹,曾昱磬,0.2,12,46,40,3,2,8,6,1,0,1,12,2,4,（0）,1,6,1,0,1,0,0,0.283,0.3,0.583,0.5,0.83
